data,liczba_hospitalizowanych ,procent_hospitalizowanych_z_aktywnych,liczba_lozek,procent_zajetych_lozek,liczba_zajetych_respiratorow,procent_hospitalizowanych_pod_respiratorem,liczba_respiratorow,procent_zajetych_respiratorow,osoby_kwarantanna,osoby_nadzor
3.03,68,,,,,, ,,316,4459
4.03,65,,,,,,,,349,4540
5.03,92,,,,,,,,490,5647
6.03,128,,,,,,,,1299,6184
7.03,146,,,,,,,,1548,6409
8.03,168,,,,,,,,932,7112
9.03,467,,,,,,,,1014,7110
10.03,220,,,,,,,,1055,9366
11.03,317,,,,,,,,1193,11524
12.03,384,,,,,,,,2736,14841
13.03,521,,,,,,,,3151,17784
14.03,526,,,,,,,,4413,20340
15.03,768,,,,,,,,7535,25816
16.03,734,,,,,,,,10050,30129
17.03,822,,,,,,,,37503,35853
18.03,923,,,,,,,,57185,40110
19.03,871,,,,,,,,76764,48660
20.03,898,,,,,,,,109235,53117
21.03,1047,,,,,,,,128919,56623
22.03,1084,,,,,,,,128980,58826
23.03,1138,,,,,,,,150746,51142
24.03,1479,,,,,,,,167040,53426
25.03,1615,,,,,,,,209208,56930
26.03,1606,,,,,,,,234382,59081
27.03,1696,,,,,,,,256156,58306
28.03,1719,,,,,,,,265303,56585
29.03,1879,,,,,,,,269307,52612
30.03,1900,,,,,,,,270314,52370
31.03,1924,,,,,,,,171994,50804
1.04,2317,,,,,,,,183095,48093
2.04,2158,,,,,,,,174997,44491
3.04,2303,,,,,,,,160587,41146
4.04,2434,"70,92%",,,,,,,131888,39157
5.04,2444,"63,09%",,,,,,,143256,37295
6.04,2476,"59,75%",,,,,,,148130,36391
7.04,2425,"53,56%",,,,,,,153390,33273
8.04,2473,"51,25%",,,,,,,152898,33989
9.04,2409,"47,08%",,,,,,,158663,33879
10.04,2426,"44,46%",,,,,,,166973,31370
11.04,2481,"42,98%",,,,,,,162924,30982
12.04,2510,"41,81%",,,,,,,151548,29571
13.04,2471,"39,85%",,,,,,,144875,28665
14.04,2499,"39,53%",,,,,,,145875,28085
15.04,2607,"39,33%",,,,,,,142220,25923
16.04,2673,"39,14%",,,,,,,138004,25773
17.04,2725,"37,97%",,,,,,,118361,25273
18.04,2483,"33,64%",,,,,,,124311,17436
19.04,2511,"32,09%",,,,,,,111079,17266
20.04,2914,"36,35%",,,,,,,105602,21364
21.04,3505,"43,29%",,,,,,,98020,22731
22.04,3099,"37,94%",,,,,,,103129,21781
23.04,3095,"37,49%",,,,,,,97905,20546
24.04,2821,"33,62%",,,,,,,87003,19653
