"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Armenia","305","336","390","454","516","567","595","454","451"
"Australia","366","402","462","520","574","624","652","513","519"
"Austria","401","426","466","511","552","587","606","504","513"
"Azerbaijan","294","328","391","465","535","594","625","466","460"
"Bahrain","282","319","377","439","498","549","577","440","432"
"Belgium (Flemish)","450","472","509","550","590","625","645","545","553"
"Chile","326","355","407","463","518","565","592","457","466"
"Chinese Taipei","459","495","546","596","642","681","704","592","590"
"Croatia","376","402","446","493","537","573","595","485","495"
"Czech Republic","387","419","467","514","560","598","621","505","516"
"Denmark","413","445","493","541","585","624","646","534","540"
"England","385","423","483","549","605","652","677","541","544"
"Finland","430","456","501","549","592","631","654","542","549"
"Georgia","293","331","392","456","512","559","589","454","447"
"Germany","420","446","488","530","570","606","626","523","532"
"Hong Kong SAR","488","519","563","606","645","681","702","598","604"
"Hungary","352","397","462","523","577","623","650","514","517"
"Iran, Islamic Rep. of","271","306","370","435","496","547","575","431","431"
"Ireland","390","425","479","533","580","622","648","526","529"
"Italy","386","414","461","510","557","598","622","503","512"
"Japan","460","492","540","588","635","675","700","584","587"
"Kazakhstan","363","390","442","502","560","608","637","498","504"
"Korea, Rep. of","489","517","561","607","651","691","714","601","608"
"Kuwait","170","207","271","346","415","470","500","358","323"
"Lithuania","405","436","486","537","585","626","650","533","534"
"Malta","357","391","446","502","549","590","613","492","499"
"Morocco","177","206","261","329","404","472","511","338","331"
"Netherlands","449","470","505","543","577","605","623","536","544"
"New Zealand","339","374","432","492","545","589","614","486","486"
"Northern Ireland","411","451","511","567","622","668","693","562","563"
"Norway","376","406","451","497","542","581","604","492","499"
"Oman","208","245","314","390","459","515","548","398","372"
"Poland","352","384","435","485","531","570","595","476","486"
"Portugal","417","445","488","534","578","619","642","529","535"
"Qatar","237","274","338","416","487","547","582","420","407"
"Romania","287","336","416","494","557","607","636","481","484"
"Russian Federation","417","447","493","544","593","635","660","543","542"
"Saudi Arabia","245","282","346","412","473","532","568","418","402"
"Serbia","362","401","461","520","574","622","652","513","519"
"Singapore","464","502","559","612","661","701","723","608","604"
"Slovak Republic","365","402","460","513","561","600","626","503","511"
"Slovenia","395","423","468","517","561","597","619","508","518"
"Spain","362","388","435","486","532","572","593","477","488"
"Sweden","388","416","462","507","549","587","610","501","506"
"Thailand","318","352","406","462","514","557","580","465","451"
"Tunisia","198","234","294","362","427","480","510","363","356"
"Turkey","289","338","408","477","540","591","618","470","469"
"United Arab Emirates","270","304","366","437","504","560","593","438","430"
"United States","410","440","492","544","593","635","660","536","545"
"Yemen","74 ","108","170","243","322","395","438","255","243"
