"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Armenia","270","300","355","419","477","529","559","419","414"
"Australia","371","407","466","521","571","614","638","516","516"
"Austria","408","438","485","535","581","619","640","525","538"
"Azerbaijan","274","307","369","439","509","565","598","442","434"
"Bahrain","259","305","382","458","525","578","611","461","438"
"Belgium (Flemish)","411","432","471","511","548","581","600","503","514"
"Chile","345","376","428","483","535","579","604","474","486"
"Chinese Taipei","420","455","506","557","603","641","664","548","555"
"Croatia","411","435","475","518","559","594","615","514","518"
"Czech Republic","412","442","491","539","586","625","648","529","544"
"Denmark","401","434","483","531","578","617","640","527","529"
"England","384","420","476","535","586","629","653","529","528"
"Finland","456","485","529","574","615","651","674","570","570"
"Georgia","299","336","401","462","516","560","585","459","451"
"Germany","406","435","482","532","577","614","636","522","534"
"Hong Kong SAR","406","443","493","541","585","622","644","532","538"
"Hungary","377","420","484","542","594","637","662","532","537"
"Iran, Islamic Rep. of","274","317","390","460","523","575","604","452","454"
"Ireland","379","412","466","521","571","613","637","516","516"
"Italy","397","429","477","527","573","615","641","520","528"
"Japan","449","476","519","561","601","637","658","556","561"
"Kazakhstan","345","375","431","496","558","610","642","490","498"
"Korea, Rep. of","476","502","545","589","632","669","690","583","590"
"Kuwait","130","176","258","355","441","504","541","371","319"
"Lithuania","397","426","471","518","561","598","620","514","515"
"Malta","271","314","384","453","514","565","594","443","449"
"Morocco","59 ","100","171","257","351","440","487","268","259"
"Netherlands","439","461","497","534","568","597","613","526","537"
"New Zealand","345","381","442","503","558","602","626","496","497"
"Northern Ireland","388","425","473","522","566","603","625","517","516"
"Norway","383","411","453","497","538","573","593","492","496"
"Oman","162","208","291","385","467","532","568","394","360"
"Poland","369","402","455","509","558","601","627","502","508"
"Portugal","397","429","476","524","571","613","637","519","524"
"Qatar","176","222","304","401","488","554","590","408","382"
"Romania","302","356","444","517","580","631","659","505","506"
"Russian Federation","430","458","505","554","603","643","667","553","552"
"Saudi Arabia","245","287","359","435","502","560","593","453","405"
"Serbia","366","407","467","520","570","615","642","514","517"
"Singapore","427","469","531","590","644","689","713","581","585"
"Slovak Republic","390","430","486","539","586","625","648","528","536"
"Slovenia","388","421","474","525","572","612","636","517","523"
"Spain","378","407","458","509","556","595","620","500","510"
"Sweden","403","434","486","539","586","625","648","532","535"
"Thailand","305","343","410","479","538","585","613","476","467"
"Tunisia","143","187","266","351","432","495","525","359","334"
"Turkey","283","332","403","471","531","581","611","465","461"
"United Arab Emirates","238","279","350","433","507","569","604","437","419"
"United States","406","440","494","549","599","641","666","539","549"
"Yemen","25 ","60 ","122","200","288","369","418","225","198"
