"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1825,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1826,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1811,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1833,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1805,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1800,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1798,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1896,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1818,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1799,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1784,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1790,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1779,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1800,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1776,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1763,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1777,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1756,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1779,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1784,,
