freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2015-01 	2015-02 	2015-03 	2015-04 	2015-05 	2015-06 	2015-07 	2015-08 	2015-09 	2015-10 	2015-11 	2015-12 	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 
M,FOR,NR,I551-I553,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	143305 u	763790 u	: 	754652 u	84479 u	269259 u	45516 u	27288 u	29039 u	38323 u	101747 u	190125 u	224453 u	494173 u	598136 u	238389 u	: 	65662 u	36294 u	26425 e	30753 e	41546 e	62537 e	103609 e	252670 e	563121 e	639160 e	250995 e	78618 e	60248 e	39832 e	35243 e	28379 e	7570 e	0 e	2235 e	30743 e	154132 	339525 	116173 	: 
M,FOR,NR,I551-I553,AT	8726137 	10205114 	7622985 	4208193 	4085296 	5723387 	9457710 	11244916 	6357158 	3885469 	2264490 	6554445 	8809278 	10644322 	9738393 	3185056 	4451114 	5306547 	10052956 	11735837 	6640315 	4395391 	2328664 	6110499 	9192416 	10230166 	8610600 	4976645 	3818379 	6630207 	10523525 	11887888 	6669496 	4525854 	2403697 	6575448 	9722901 	10900587 	9672474 	4177952 	4792351 	6159955 	10894815 	11683298 	6775638 	4636299 	2645527 	7231987 	9614647 	10562078 	9464034 	4933120 	3958076 	7442811 	11253739 	11948420 	6821808 	4961991 	2670951 	7754539 	10267613 	11978029 	3760045 	67593 	118720 	1808240 	7648211 	8752751 	4811748 	: 
M,FOR,NR,I551-I553,BE	885558 b	1051915 b	1245645 b	1612532 b	2015151 b	1744143 b	2289498 b	2446456 b	1648969 b	1761372 b	1054919 b	1079647 b	875261 	1104719 	1205075 	1350861 	1610103 	1473357 	1867052 	2183754 	1442799 	1616885 	1101560 	1231768 	892090 	1114259 	1198303 	1709094 	1656152 	1692278 	2060113 	2375148 	1647021 	1735491 	1218587 	1358307 	1018743 	1145416 	1489716 	1694473 	2025260 	1791416 	2314866 	2611788 	1756967 	1876954 	1391728 	1447356 	1046512 	1215419 	1389854 	1941218 	1908537 	2012294 	2486679 	2661476 	1791886 	1921367 	1366650 	1462946 	1070269 	1266749 	452177 	15683 	26727 	312386 	1277238 	1023831 	541262 u	: 
M,FOR,NR,I551-I553,BG	347584 	307006 	230714 	250707 	621344 	2117167 	3505146 	3640886 	1679923 	280926 	164360 	206518 	381926 	355185 	259611 	277684 	787378 	2729615 	4217736 	4204679 	2131520 	360468 	202508 	242356 	393991 	391547 	300333 	365084 	776627 	3021833 	4500298 	4326124 	2191531 	357318 	212752 	268129 	456936 	417534 	316893 	372788 	1027055 	3103932 	4502280 	4423107 	2279729 	380425 	195409 	272837 	436714 	390805 	329518 	408471 	874730 	3071749 	4359738 	4568804 	2155767 	369563 	215472 	298515 	515422 	432181 	142869 	10657 	: c	111897 	947937 	1495534 	697348 	: 
M,FOR,NR,I551-I553,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1683579 	1976205 	2183110 	1419991 	1787863 	2146360 	3039133 	3403414 	2177510 	1550139 	1058362 	1557073 	1793766 	1964575 	2095945 	1757278 	1854908 	2398405 	3256949 	3563020 	2308328 	1685030 	1115938 	1687712 	1835572 	2077297 	2403961 	1701356 	1965854 	2519073 	3435586 	3757610 	2382224 	1710721 	1139742 	1791050 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1873368 	2137147 	760193 	67830 	93460 u	354184 	: 	: 	: 	: 
M,FOR,NR,I551-I553,CY	171775 	204435 	362281 	743135 	1427141 	1757193 	2019415 	2033906 	1779611 	1374929 	482918 	193582 	177814 	237205 	425137 	795916 	1681627 	2003793 	2280527 	2257082 	2060001 	1793191 	563276 	229134 	243394 	294584 	509883 	1058159 	1850154 	2165509 	2354511 	2371692 	2210171 	1973510 	645582 	269661 	264917 	360325 	642993 	1127323 	1913605 	2192001 	2334024 	2364061 	2182265 	1922596 	645236 	297997 	285763 	370865 	592810 	1076469 	1873872 	2198230 	2393769 	2390585 	2253429 	2047492 	725563 	352268 	361428 	378675 	138773 	0 	0 	: 	: 	: 	: 	: 
M,FOR,NR,I551-I553,CZ	1291688 	1363419 	1589896 	1864707 	2205295 	2117204 	2619173 	2803490 	2198295 	2029405 	1495633 	1708310 	1368523 	1462136 	1834666 	1811161 	2216061 	2065167 	2711991 	2820589 	2283098 	2192083 	1609807 	1892867 	1540211 	1585610 	1831735 	2262977 	2342036 	2388624 	2843468 	2955484 	2387545 	2341185 	1761824 	2016314 	1625584 	1731924 	2061243 	2173210 	2410959 	2306366 	2907886 	2959767 	2387643 	2321013 	1786538 	2090593 	1637705 	1722041 	1927720 	2294346 	2396123 	2451943 	2931894 	3016823 	2366084 	2419782 	1839611 	2176491 	1746007 	1833964 	631637 	6447 	18313 	244305 	882985 	1111526 	627553 	: 
M,FOR,NR,I551-I553,DE	4032030 	4825896 	5033418 	5879214 	7045951 	7200849 	10246959 	9723756 	7411574 	6904823 	5116012 	5459297 	4261643 	5050071 	5479500 	6236323 	6894088 	7176184 	10020867 	9518036 	7649778 	6863869 	5264257 	5532298 	4495520 	5169331 	5572801 	6613744 	7271698 	7433971 	10214621 	10040590 	7919576 	7028393 	5476567 	5874407 	4872366 	5298346 	5920965 	6817567 	7394074 	7938466 	10588682 	10575269 	8212328 	7466003 	5697089 	6180701 	4971546 	5477411 	5947918 	7232389 	7630322 	8183343 	11001709 	10674859 	8057950 	7653731 	6043072 	6386597 	5077699 	5613269 	1954787 	494083 	677375 	1665530 	4736847 	4677075 	3381773 	: 
M,FOR,NR,I551-I553,DK	355507 e	363979 e	473042 e	724311 e	1024411 b	1243170 b	2393665 b	2010876 b	845180 b	727074 b	505710 b	501499 b	375963 	424550 	577992 	688822 	1022226 	1271472 	2445644 	2077311 	866973 	751710 	536963 	533882 	407516 	440595 	531716 	875299 	1033573 	1333036 	2402977 	2126510 	903427 	802800 	572350 	542785 	455326 	456892 	618870 	796745 	1181729 	1375969 	2653785 	2124564 	940839 	819459 	594364 	560476 	448286 	454683 	553248 	933660 	1078318 	1493502 	2755390 	2135221 	957866 	883189 	604406 	589655 	460217 	489694 	187372 	27324 	45458 	292385 	1226755 	1221813 	458652 	: 
M,FOR,NR,I551-I553,EA	44541668 	48862861 	53131647 	63695799 	89731907 	108772013 	155330720 	159770979 	113254407 	78662297 	40103742 	42666934 	45697651 	51890966 	62482517 	61996069 	95473822 	110362233 	159447916 	164721244 	118314200 	83085748 	42922453 	45175804 	49565814 	53208894 	59719849 	78083789 	94763600 	126172730 	167799190 	171354705 	124577843 	87448070 	45774078 	47926320 	52084525 	56409961 	66823630 	74123681 	106035180 	123793228 	170903669 	172306801 	125278332 	89524810 	47407604 	50289864 	52242891 	55431897 	64766043 	82581299 	100787407 	135605314 	174773972 	176821573 	129178097 	92575365 	48409658 	52461395 	54514747 e	58188864 e	21903876 e	1699208 e	3447327 e	15236116 e	60551671 e	75287003 e	47495433 e	: 
