"Year","Knowing","Applying","Reasoning","Country"
"2019",511,521,515,"Australia"
"2015",504,502,512,"Australia"
"2011",504,506,506,"Australia"
"2007",490,498,503,"Australia"
"2019",471,479,489,"Bahrain"
"2015",463,445,452,"Bahrain"
"2011",411,400,415,"Bahrain"
"2007",389,400,406,"Bahrain"
"2019",434,438,451,"Chile"
"2015",423,427,432,"Chile"
"2011",405,425,422,"Chile"
"2019",616,610,616,"Chinese Taipei"
"2015",598,602,602,"Chinese Taipei"
"2011",611,614,609,"Chinese Taipei"
"2007",604,597,602,"Chinese Taipei"
"2019",509,496,505,"Cyprus"
"2007",464,465,458,"Cyprus"
"2019",416,405,411,"Egypt"
"2015",399,385,379,"Egypt"
"2007",385,391,386,"Egypt"
"2019",510,518,512,"England"
"2015",513,519,522,"England"
"2011",501,508,510,"England"
"2007",508,514,518,"England"
"2019",505,510,506,"Finland"
"2011",508,520,512,"Finland"
"2019",580,575,582,"Hong Kong SAR"
"2015",600,595,591,"Hong Kong SAR"
"2011",591,587,580,"Hong Kong SAR"
"2007",583,572,567,"Hong Kong SAR"
"2019",516,517,512,"Hungary"
"2015",511,516,515,"Hungary"
"2011",507,505,502,"Hungary"
"2007",522,513,515,"Hungary"
"2019",441,443,457,"Iran, Islamic Rep. of"
"2015",435,434,436,"Iran, Islamic Rep. of"
"2011",410,411,428,"Iran, Islamic Rep. of"
"2007",397,399,417,"Iran, Islamic Rep. of"
"2019",530,526,508,"Ireland"
"2015",527,520,521,"Ireland"
"2019",516,519,525,"Israel"
"2015",511,512,510,"Israel"
"2011",516,513,520,"Israel"
"2019",492,497,505,"Italy"
"2015",489,495,500,"Italy"
"2011",494,503,496,"Italy"
"2007",474,482,482,"Italy"
"2019",589,596,599,"Japan"
"2015",578,592,591,"Japan"
"2011",558,574,579,"Japan"
"2007",569,568,577,"Japan"
"2019",414,415,431,"Jordan"
"2015",391,378,380,"Jordan"
"2011",405,397,416,"Jordan"
"2007",425,421,434,"Jordan"
"2019",488,486,487,"Kazakhstan"
"2011",489,484,482,"Kazakhstan"
"2019",614,604,609,"Korea, Rep. of"
"2015",607,606,608,"Korea, Rep. of"
"2011",616,617,612,"Korea, Rep. of"
"2007",608,600,592,"Korea, Rep. of"
"2019",456,412,407,"Lebanon"
"2015",456,439,406,"Lebanon"
"2011",464,436,426,"Lebanon"
"2007",457,447,423,"Lebanon"
"2019",518,524,514,"Lithuania"
"2015",502,520,501,"Lithuania"
"2011",502,508,493,"Lithuania"
"2007",509,511,487,"Lithuania"
"2019",451,464,462,"Malaysia"
"2015",472,463,453,"Malaysia"
"2011",444,439,426,"Malaysia"
"2007",473,477,466,"Malaysia"
"2019",382,389,381,"Morocco"
"2015",382,385,374,"Morocco"
"2011",363,378,357,"Morocco"
"2019",468,486,486,"New Zealand"
"2015",488,493,499,"New Zealand"
"2011",481,491,494,"New Zealand"
"2019",499,504,496,"Norway (9)"
"2015",500,516,516,"Norway (9)"
"2019",406,409,412,"Oman"
"2015",401,401,402,"Oman"
"2011",365,360,369,"Oman"
"2007",366,365,389,"Oman"
"2019",443,438,448,"Qatar"
"2015",440,435,431,"Qatar"
"2011",418,396,406,"Qatar"
"2019",482,475,481,"Romania"
"2011",460,454,455,"Romania"
"2007",464,461,445,"Romania"
"2019",550,543,536,"Russian Federation"
"2015",543,541,528,"Russian Federation"
"2011",548,538,531,"Russian Federation"
"2007",521,510,499,"Russian Federation"
"2019",614,614,620,"Singapore"
"2015",633,619,616,"Singapore"
"2011",617,613,604,"Singapore"
"2007",592,597,589,"Singapore"
"2019",496,501,514,"Sweden"
"2015",484,507,509,"Sweden"
"2011",478,489,478,"Sweden"
"2007",480,495,493,"Sweden"
"2019",494,491,504,"Turkey"
"2015",447,460,472,"Turkey"
"2011",441,459,465,"Turkey"
"2019",478,466,479,"United Arab Emirates"
"2015",476,457,461,"United Arab Emirates"
"2011",467,442,449,"United Arab Emirates"
"2019",522,515,507,"United States"
"2015",528,515,514,"United States"
"2011",519,503,503,"United States"
"2007",517,502,506,"United States"
