Entity,Code,Date,parks
Afghanistan,AFG,2020-02-17,1
Afghanistan,AFG,2020-02-18,1.5
Afghanistan,AFG,2020-02-19,1.4
Afghanistan,AFG,2020-02-20,1
Afghanistan,AFG,2020-02-21,1.429
Afghanistan,AFG,2020-02-22,2.286
Afghanistan,AFG,2020-02-23,2.429
Afghanistan,AFG,2020-02-24,2.714
Afghanistan,AFG,2020-02-25,2.429
Afghanistan,AFG,2020-02-26,2.571
Afghanistan,AFG,2020-02-27,2.857
Afghanistan,AFG,2020-02-28,2.429
Afghanistan,AFG,2020-02-29,1.571
Afghanistan,AFG,2020-03-01,1.571
Afghanistan,AFG,2020-03-02,1.429
Afghanistan,AFG,2020-03-03,1.571
Afghanistan,AFG,2020-03-04,1.429
Afghanistan,AFG,2020-03-05,1.571
Afghanistan,AFG,2020-03-06,2.571
Afghanistan,AFG,2020-03-07,3.143
Afghanistan,AFG,2020-03-08,3.429
Afghanistan,AFG,2020-03-09,2.429
Afghanistan,AFG,2020-03-10,2.286
Afghanistan,AFG,2020-03-11,2.429
Afghanistan,AFG,2020-03-12,2.286
Afghanistan,AFG,2020-03-13,2
Afghanistan,AFG,2020-03-14,2.143
Afghanistan,AFG,2020-03-15,2.286
Afghanistan,AFG,2020-03-16,3.143
Afghanistan,AFG,2020-03-17,3.429
Afghanistan,AFG,2020-03-18,3.857
Afghanistan,AFG,2020-03-19,4.429
Afghanistan,AFG,2020-03-20,4.571
Afghanistan,AFG,2020-03-21,4
Afghanistan,AFG,2020-03-22,3
Afghanistan,AFG,2020-03-23,2.714
Afghanistan,AFG,2020-03-24,2.143
Afghanistan,AFG,2020-03-25,1
Afghanistan,AFG,2020-03-26,-0.286
Afghanistan,AFG,2020-03-27,-1.571
Afghanistan,AFG,2020-03-28,-2.714
Afghanistan,AFG,2020-03-29,-4.286
Afghanistan,AFG,2020-03-30,-6.429
Afghanistan,AFG,2020-03-31,-8.286
Afghanistan,AFG,2020-04-01,-9.143
Afghanistan,AFG,2020-04-02,-10
Afghanistan,AFG,2020-04-03,-10.857
Afghanistan,AFG,2020-04-04,-11.429
Afghanistan,AFG,2020-04-05,-11.429
Afghanistan,AFG,2020-04-06,-10.857
Afghanistan,AFG,2020-04-07,-10.429
Afghanistan,AFG,2020-04-08,-10.857
Afghanistan,AFG,2020-04-09,-11.286
Afghanistan,AFG,2020-04-10,-11.571
Afghanistan,AFG,2020-04-11,-11.714
Afghanistan,AFG,2020-04-12,-12.429
Afghanistan,AFG,2020-04-13,-12.714
Afghanistan,AFG,2020-04-14,-13.143
Afghanistan,AFG,2020-04-15,-12.857
Afghanistan,AFG,2020-04-16,-12.857
Afghanistan,AFG,2020-04-17,-13.143
Afghanistan,AFG,2020-04-18,-13.571
