"","Country","Attitude","Resources"
"1","Albania",11.6,8.6
"2","Portugal",11.2,10.2
"3","Kosovo",10.9,9.1
"4","Iran, Islamic Rep. of",11,8.7
"5","Bulgaria",10.8,9.6
"6","Morocco",11,6.9
"7","Turkey (5)",10.9,8.7
"8","Bahrain",11,9.9
"9","Oman",10.9,9.4
"10","Armenia",10.8,9.5
"11","United Arab Emirates",10.8,10.4
"12","Georgia",10.6,10.3
"13","Saudi Arabia",10.7,9.4
"14","Montenegro",10.5,10
"15","Azerbaijan",10.3,9.1
"16","Kazakhstan",10.4,9.8
"17","North Macedonia",10.5,9.3
"18","Kuwait",10.5,9.8
"19","Malta",10.3,10.8
"20","Qatar",10.4,10.2
"21","Ireland",10.2,11.1
"22","Northern Ireland",10.2,11.1
"23","Italy",10.2,9.8
"24","Lithuania",9.9,10.4
"25","Japan",10.1,10.3
"26","United States",10.1,NA
"27","New Zealand",10,11.4
"28","Chinese Taipei",10.1,10.4
"29","Australia",9.9,NA
"30","Singapore",10,11
"31","Bosnia and Herzegovina",9.8,9.3
"32","Hong Kong SAR",10,10.5
"33","Austria",9.9,10.6
"34","Canada",9.9,11.3
"35","Spain",9.8,10.4
"36","Germany",9.8,10.8
"37","Norway (5)",9.9,11.5
"38","England",9.8,NA
"39","Hungary",9.7,10.6
"40","Cyprus",9.6,10.9
"41","France",9.7,10.8
"42","Russian Federation",9.5,10.3
"43","Chile",9.7,9.3
"44","South Africa (5)",9.8,8.5
"45","Pakistan",9.8,8
"46","Netherlands",9.5,NA
"47","Belgium (Flemish)",9.5,10.7
"48","Latvia",9.4,10.6
"49","Sweden",9.4,11.2
"50","Serbia",9.5,10
"51","Slovak Republic",9.4,10.2
"52","Poland",9.3,10.6
"53","Korea, Rep. of",9.5,11.9
"54","Denmark",9.2,11.3
"55","Croatia",9.3,9.9
"56","Czech Republic",9.2,10.8
"57","Philippines",9.3,8.1
"58","Finland",8.7,11.2
"59","Dubai, UAE",11.2,10.8
"60","Abu Dhabi, UAE",10.2,NA
"61","Quebec, Canada",9.8,11.2
"62","Ontario, Canada",9.8,11.3
"63","Madrid, Spain",9.7,10.9
"64","Moscow City, Russian Fed.",9.4,11.4
