Entity,Code,Date,transit_stations
Afghanistan,AFG,2020-02-17,5.667
Afghanistan,AFG,2020-02-18,6.5
Afghanistan,AFG,2020-02-19,5.2
Afghanistan,AFG,2020-02-20,5
Afghanistan,AFG,2020-02-21,5.286
Afghanistan,AFG,2020-02-22,6.571
Afghanistan,AFG,2020-02-23,6.143
Afghanistan,AFG,2020-02-24,6.143
Afghanistan,AFG,2020-02-25,6.143
Afghanistan,AFG,2020-02-26,6.571
Afghanistan,AFG,2020-02-27,6.429
Afghanistan,AFG,2020-02-28,6
Afghanistan,AFG,2020-02-29,5.571
Afghanistan,AFG,2020-03-01,6
Afghanistan,AFG,2020-03-02,5.857
Afghanistan,AFG,2020-03-03,5.571
Afghanistan,AFG,2020-03-04,5
Afghanistan,AFG,2020-03-05,5.143
Afghanistan,AFG,2020-03-06,5.143
Afghanistan,AFG,2020-03-07,5.143
Afghanistan,AFG,2020-03-08,4.714
Afghanistan,AFG,2020-03-09,2.286
Afghanistan,AFG,2020-03-10,2.143
Afghanistan,AFG,2020-03-11,2.286
Afghanistan,AFG,2020-03-12,1.429
Afghanistan,AFG,2020-03-13,1.429
Afghanistan,AFG,2020-03-14,1.571
Afghanistan,AFG,2020-03-15,1.429
Afghanistan,AFG,2020-03-16,3.286
Afghanistan,AFG,2020-03-17,2
Afghanistan,AFG,2020-03-18,1.143
Afghanistan,AFG,2020-03-19,0.571
Afghanistan,AFG,2020-03-20,-2.714
Afghanistan,AFG,2020-03-21,-6.857
Afghanistan,AFG,2020-03-22,-9.714
Afghanistan,AFG,2020-03-23,-12.714
Afghanistan,AFG,2020-03-24,-14.857
Afghanistan,AFG,2020-03-25,-17.286
Afghanistan,AFG,2020-03-26,-19.714
Afghanistan,AFG,2020-03-27,-19.286
Afghanistan,AFG,2020-03-28,-20.429
Afghanistan,AFG,2020-03-29,-23.286
Afghanistan,AFG,2020-03-30,-26.429
Afghanistan,AFG,2020-03-31,-29.857
Afghanistan,AFG,2020-04-01,-32
Afghanistan,AFG,2020-04-02,-33.714
Afghanistan,AFG,2020-04-03,-36
Afghanistan,AFG,2020-04-04,-36.857
Afghanistan,AFG,2020-04-05,-37.143
Afghanistan,AFG,2020-04-06,-37.286
Afghanistan,AFG,2020-04-07,-37.857
Afghanistan,AFG,2020-04-08,-39.857
Afghanistan,AFG,2020-04-09,-42.143
Afghanistan,AFG,2020-04-10,-44.429
Afghanistan,AFG,2020-04-11,-46.143
Afghanistan,AFG,2020-04-12,-48
Afghanistan,AFG,2020-04-13,-49.571
Afghanistan,AFG,2020-04-14,-50.429
Afghanistan,AFG,2020-04-15,-50.286
Afghanistan,AFG,2020-04-16,-50.286
Afghanistan,AFG,2020-04-17,-50.714
Afghanistan,AFG,2020-04-18,-50.714
Afghanistan,AFG,2020-04-19,-50.714
Afghanistan,AFG,2020-04-20,-50.571
Afghanistan,AFG,2020-04-21,-50
Afghanistan,AFG,2020-04-22,-49.714
Afghanistan,AFG,2020-04-23,-48.857
Afghanistan,AFG,2020-04-24,-48.714
Afghanistan,AFG,2020-04-25,-48.571
Afghanistan,AFG,2020-04-26,-48.429
Afghanistan,AFG,2020-04-27,-48.857
Afghanistan,AFG,2020-04-28,-48.714
Afghanistan,AFG,2020-04-29,-48.286
Afghanistan,AFG,2020-04-30,-48.714
Afghanistan,AFG,2020-05-01,-48.714
Afghanistan,AFG,2020-05-02,-48.714
Afghanistan,AFG,2020-05-03,-48.857
Afghanistan,AFG,2020-05-04,-48.286
Afghanistan,AFG,2020-05-05,-48.429
Afghanistan,AFG,2020-05-06,-48.571
Afghanistan,AFG,2020-05-07,-48.143
Afghanistan,AFG,2020-05-08,-47
Afghanistan,AFG,2020-05-09,-45.857
Afghanistan,AFG,2020-05-10,-45
Afghanistan,AFG,2020-05-11,-44.143
Afghanistan,AFG,2020-05-12,-43.143
Afghanistan,AFG,2020-05-13,-42.714
Afghanistan,AFG,2020-05-14,-42.571
Afghanistan,AFG,2020-05-15,-41.429
Afghanistan,AFG,2020-05-16,-40.429
Afghanistan,AFG,2020-05-17,-39.857
Afghanistan,AFG,2020-05-18,-38.857
Afghanistan,AFG,2020-07-03,-36.143
Afghanistan,AFG,2020-07-04,-32.286
Afghanistan,AFG,2020-07-05,-28
Afghanistan,AFG,2020-07-06,-25
Afghanistan,AFG,2020-07-07,-21.857
Afghanistan,AFG,2020-07-08,-18.857
Afghanistan,AFG,2020-07-09,-16
Afghanistan,AFG,2020-07-10,-15.143
Afghanistan,AFG,2020-07-11,-14.286
Afghanistan,AFG,2020-07-12,-13.714
Afghanistan,AFG,2020-07-13,-13.143
Afghanistan,AFG,2020-07-14,-12.857
Afghanistan,AFG,2020-07-15,-12.286
Afghanistan,AFG,2020-07-16,-11.571
Afghanistan,AFG,2020-07-17,-10.857
Afghanistan,AFG,2020-07-18,-10.714
Afghanistan,AFG,2020-07-19,-10.143
Afghanistan,AFG,2020-07-20,-10.143
Afghanistan,AFG,2020-07-21,-10.143
Afghanistan,AFG,2020-07-22,-10.143
Afghanistan,AFG,2020-07-23,-10
Afghanistan,AFG,2020-07-24,-10.143
Afghanistan,AFG,2020-07-25,-10.286
Afghanistan,AFG,2020-07-26,-10.286
Afghanistan,AFG,2020-07-27,-10.429
Afghanistan,AFG,2020-07-28,-9.857
Afghanistan,AFG,2020-07-29,-8.571
Afghanistan,AFG,2020-07-30,-8.571
Afghanistan,AFG,2020-07-31,-10.571
Afghanistan,AFG,2020-08-01,-13.571
Afghanistan,AFG,2020-08-02,-16.857
Afghanistan,AFG,2020-08-03,-18.429
Afghanistan,AFG,2020-08-04,-19.429
Afghanistan,AFG,2020-08-05,-20.286
Afghanistan,AFG,2020-08-06,-20.286
Afghanistan,AFG,2020-08-07,-18.429
Afghanistan,AFG,2020-08-08,-16.571
Afghanistan,AFG,2020-08-09,-14.143
Afghanistan,AFG,2020-08-10,-11
Afghanistan,AFG,2020-08-11,-9.143
Afghanistan,AFG,2020-08-12,-7.714
Afghanistan,AFG,2020-08-13,-6.571
Afghanistan,AFG,2020-08-14,-5.143
Afghanistan,AFG,2020-08-15,-2
Afghanistan,AFG,2020-08-16,0
Afghanistan,AFG,2020-08-17,0.286
Afghanistan,AFG,2020-08-18,-1.857
Afghanistan,AFG,2020-08-19,-2.286
Afghanistan,AFG,2020-08-20,-2.429
Afghanistan,AFG,2020-08-21,-2.333
Afghanistan,AFG,2020-08-22,-3.167
Afghanistan,AFG,2020-08-23,-3.167
Afghanistan,AFG,2020-08-24,-3.833
Afghanistan,AFG,2020-08-25,-1.5
Afghanistan,AFG,2020-08-26,-1.833
Afghanistan,AFG,2020-08-27,-2.833
Afghanistan,AFG,2020-08-28,-2.833
Afghanistan,AFG,2020-08-29,-5.667
Afghanistan,AFG,2020-08-30,-11
Afghanistan,AFG,2020-08-31,-11
Afghanistan,AFG,2020-09-01,-10.667
Afghanistan,AFG,2020-09-02,-10.667
Afghanistan,AFG,2020-09-03,-10.5
Afghanistan,AFG,2020-09-04,-10.5
Afghanistan,AFG,2020-09-05,-8.167
Afghanistan,AFG,2020-09-06,-3.5
Afghanistan,AFG,2020-09-07,-3.5
Afghanistan,AFG,2020-09-08,-7.167
Afghanistan,AFG,2020-09-09,-7.667
Afghanistan,AFG,2020-09-10,-7.833
Afghanistan,AFG,2020-09-11,-9.429
Afghanistan,AFG,2020-09-12,-11.286
Afghanistan,AFG,2020-09-13,-13.714
Afghanistan,AFG,2020-09-14,-16
Afghanistan,AFG,2020-09-15,-15
Afghanistan,AFG,2020-09-16,-16.143
Afghanistan,AFG,2020-09-17,-16.571
Afghanistan,AFG,2020-09-18,-16
Afghanistan,AFG,2020-09-19,-15
Afghanistan,AFG,2020-09-20,-13.857
Afghanistan,AFG,2020-09-21,-13
Afghanistan,AFG,2020-09-22,-11.714
Afghanistan,AFG,2020-09-23,-9.857
Afghanistan,AFG,2020-09-24,-9
Afghanistan,AFG,2020-09-25,-8.286
Afghanistan,AFG,2020-09-26,-7.429
Afghanistan,AFG,2020-09-27,-5.857
Afghanistan,AFG,2020-09-28,-4.571
Afghanistan,AFG,2020-09-29,-4
Afghanistan,AFG,2020-09-30,-4.143
Afghanistan,AFG,2020-10-01,-4
Afghanistan,AFG,2020-10-02,-3.857
Afghanistan,AFG,2020-10-03,-4.429
Afghanistan,AFG,2020-10-04,-5.429
Afghanistan,AFG,2020-10-05,-5.857
Afghanistan,AFG,2020-10-06,-6.429
Afghanistan,AFG,2020-10-07,-7
Afghanistan,AFG,2020-10-08,-7.143
Afghanistan,AFG,2020-10-09,-7.857
Afghanistan,AFG,2020-10-10,-8.429
Afghanistan,AFG,2020-10-11,-8.429
Afghanistan,AFG,2020-10-12,-8.286
Afghanistan,AFG,2020-10-13,-8.286
Afghanistan,AFG,2020-10-14,-8.143
Afghanistan,AFG,2020-10-15,-8
Afghanistan,AFG,2020-10-16,-7.429
Afghanistan,AFG,2020-10-17,-6.857
Afghanistan,AFG,2020-10-18,-6.857
Afghanistan,AFG,2020-10-19,-7.143
Afghanistan,AFG,2020-10-20,-7.286
Afghanistan,AFG,2020-10-21,-7.714
Afghanistan,AFG,2020-10-22,-7.714
Afghanistan,AFG,2020-10-23,-7.714
Afghanistan,AFG,2020-10-24,-7.714
Afghanistan,AFG,2020-10-25,-7.286
Afghanistan,AFG,2020-10-26,-7.286
Afghanistan,AFG,2020-10-27,-7.143
Afghanistan,AFG,2020-10-28,-6.143
Afghanistan,AFG,2020-10-29,-7.714
Afghanistan,AFG,2020-10-30,-7.143
Afghanistan,AFG,2020-10-31,-7
Afghanistan,AFG,2020-11-01,-7.143
Afghanistan,AFG,2020-11-02,-6.429
Afghanistan,AFG,2020-11-03,-6.286
Afghanistan,AFG,2020-11-04,-6.571
Afghanistan,AFG,2020-11-05,-5.143
Afghanistan,AFG,2020-11-06,-6.857
Afghanistan,AFG,2020-11-07,-7.571
Afghanistan,AFG,2020-11-08,-8
Afghanistan,AFG,2020-11-09,-9.143
Afghanistan,AFG,2020-11-10,-9.857
Afghanistan,AFG,2020-11-11,-10.571
Afghanistan,AFG,2020-11-12,-10.857
