"","Country","Year","5P","25P","AVG/50P","75P","95P"
"1","Armenia",2019,336,415,466,520,590
"2","Armenia",2015,295,386,444,505,579
"3","Armenia",2011,270,355,416,477,559
"4","Armenia",2003,271,371,437,506,579
"5","Australia",2019,389,484,533,587,653
"6","Australia",2015,389,476,524,576,640
"7","Australia",2011,371,466,516,571,638
"8","Australia",2007,384,478,527,583,651
"9","Australia",2003,374,473,521,576,644
"10","Australia",1995,350,465,521,586,664
"11","Austria",2019,394,474,522,575,636
"12","Austria",2011,408,485,532,581,640
"13","Austria",2007,388,477,526,580,644
"14","Austria",1995,395,487,538,592,667
"15","Azerbaijan",2019,260,371,427,492,569
"16","Azerbaijan",2011,274,369,438,509,598
"17","Bahrain",2019,329,432,493,557,635
"18","Bahrain",2015,272,391,459,533,617
"19","Bahrain",2011,259,382,449,525,611
"20","Belgium (Flemish)",2019,384,458,501,548,605
"21","Belgium (Flemish)",2015,406,471,512,554,609
"22","Belgium (Flemish)",2011,411,471,509,548,600
"23","Belgium (Flemish)",2003,424,483,518,555,607
"24","Bulgaria",2019,326,460,521,595,666
"25","Bulgaria",2015,352,483,536,602,668
"26","Canada",2019,401,476,523,573,637
"27","Canada",2015,398,479,525,575,638
"28","Chile",2019,343,419,469,522,589
"29","Chile",2015,353,428,478,530,595
"30","Chile",2011,345,428,480,535,604
"31","Chinese Taipei",2019,444,516,558,604,659
"32","Chinese Taipei",2015,435,513,555,602,661
"33","Chinese Taipei",2011,420,506,552,603,664
"34","Chinese Taipei",2007,423,508,557,609,679
"35","Chinese Taipei",2003,434,509,551,598,659
"36","Croatia",2019,424,485,524,565,618
"37","Croatia",2015,426,494,533,576,630
"38","Croatia",2011,411,475,516,559,615
"39","Cyprus",2019,381,463,511,563,630
"40","Cyprus",2015,349,432,481,534,597
"41","Cyprus",2003,353,432,480,533,594
"42","Cyprus",1995,310,398,450,507,578
"43","Czech Republic",2019,414,490,534,582,640
"44","Czech Republic",2015,414,490,534,583,644
"45","Czech Republic",2011,412,491,536,586,648
"46","Czech Republic",2007,386,467,515,567,635
"47","Czech Republic",1995,396,479,532,585,660
"48","Denmark",2019,405,478,522,569,629
"49","Denmark",2015,406,483,527,575,633
"50","Denmark",2011,401,483,528,578,640
"51","Denmark",2007,383,468,517,570,636
"52","England",2019,413,491,537,587,648
"53","England",2015,417,490,536,583,648
"54","England",2011,384,476,529,586,653
"55","England",2007,403,491,542,596,666
"56","England",2003,396,488,540,597,669
"57","England",1995,358,467,528,593,681
"58","Finland",2019,429,513,555,602,662
"59","Finland",2015,444,514,554,597,654
"60","Finland",2011,456,529,570,615,674
"61","France",2019,351,435,488,544,608
"62","France",2015,363,439,487,539,602
"63","Georgia",2019,307,400,454,512,582
"64","Georgia",2015,296,397,451,511,584
"65","Georgia",2011,299,401,455,516,585
"66","Georgia",2007,273,361,418,477,552
"67","Germany",2019,383,468,518,573,634
"68","Germany",2015,409,483,528,577,638
"69","Germany",2011,406,482,528,577,636
"70","Germany",2007,393,479,528,582,647
"71","Hong Kong SAR",2019,408,486,531,580,643
"72","Hong Kong SAR",2015,437,512,557,604,668
"73","Hong Kong SAR",2011,406,493,535,585,644
"74","Hong Kong SAR",2007,437,511,554,601,659
"75","Hong Kong SAR",2003,437,506,542,583,634
"76","Hong Kong SAR",1995,370,461,508,561,627
"77","Hungary",2019,395,479,529,584,647
"78","Hungary",2015,393,493,542,598,663
"79","Hungary",2011,377,484,534,594,662
"80","Hungary",2007,383,485,536,595,661
"81","Hungary",2003,393,479,530,584,652
"82","Hungary",1995,362,455,508,564,637
"83","Iran, Islamic Rep. of",2019,265,377,441,511,587
"84","Iran, Islamic Rep. of",2015,238,354,421,496,571
"85","Iran, Islamic Rep. of",2011,274,390,453,523,604
"86","Iran, Islamic Rep. of",2007,267,371,436,506,587
"87","Iran, Islamic Rep. of",2003,243,351,414,484,561
"88","Iran, Islamic Rep. of",1995,225,320,380,442,527
"89","Ireland",2019,393,481,528,580,643
"90","Ireland",2015,405,486,529,577,635
"91","Ireland",2011,379,466,516,571,637
"92","Ireland",1995,365,463,515,573,644
"93","Italy",2019,400,467,510,555,615
"94","Italy",2015,399,474,516,562,618
"95","Italy",2011,397,477,524,573,641
"96","Italy",2007,395,484,535,590,664
"97","Italy",2003,371,462,516,573,650
"98","Japan",2019,442,519,562,609,668
"99","Japan",2015,459,528,569,613,671
"100","Japan",2011,449,519,559,601,658
"101","Japan",2007,428,505,548,595,655
"102","Japan",2003,413,501,543,592,656
"103","Japan",1995,430,509,553,602,665
"104","Kazakhstan",2019,373,441,494,544,625
"105","Kazakhstan",2011,345,431,495,558,642
"106","Korea, Rep. of",2019,474,545,588,633,693
"107","Korea, Rep. of",2015,479,550,589,632,687
"108","Korea, Rep. of",2011,476,545,587,632,690
"109","Korea, Rep. of",1995,463,535,576,620,677
"110","Kuwait",2019,181,307,392,482,582
"111","Kuwait",2015,130,246,337,431,542
"112","Latvia",2019,432,501,542,585,639
"113","Latvia",2003,411,489,532,578,638
"114","Lithuania",2019,414,492,538,588,651
"115","Lithuania",2015,406,483,528,576,634
"116","Lithuania",2011,397,471,515,561,620
"117","Lithuania",2007,401,473,514,559,615
"118","Lithuania",2003,396,469,512,558,615
"119","Malta",2019,344,443,496,555,623
"120","Malta",2011,271,384,446,514,594
"121","Morocco",2019,172,291,374,458,571
"122","Morocco",2015,157,266,352,440,550
"123","Morocco",2011,59,171,264,351,487
"124","Netherlands",2019,407,476,518,564,619
"125","Netherlands",2015,414,477,517,559,610
"126","Netherlands",2011,439,497,531,568,613
"127","Netherlands",2007,421,484,523,565,617
"128","Netherlands",2003,435,491,525,561,611
"129","Netherlands",1995,426,489,530,572,631
"130","New Zealand",2019,360,448,503,561,629
"131","New Zealand",2015,351,451,506,566,633
"132","New Zealand",2011,345,442,497,558,626
"133","New Zealand",2007,344,447,504,568,643
"134","New Zealand",2003,366,469,520,578,646
"135","New Zealand",1995,310,448,505,576,659
"136","Northern Ireland",2019,392,473,518,568,627
"137","Northern Ireland",2015,397,477,520,568,627
"138","Northern Ireland",2011,388,473,517,566,625
"139","Norway (5)",2019,422,497,539,586,643
"140","Norway (5)",2015,427,498,538,580,636
"141","Oman",2019,234,355,435,518,619
"142","Oman",2015,228,348,431,516,617
"143","Oman",2011,162,291,377,467,568
"144","Philippines",2019,59,158,249,333,470
"145","Philippines",2003,97,222,332,446,564
"146","Poland",2019,401,484,531,582,643
"147","Poland",2015,427,504,547,596,651
"148","Portugal",2019,391,459,504,551,608
"149","Portugal",2015,407,469,508,549,604
"150","Portugal",2011,397,476,522,571,637
"151","Portugal",1995,284,396,452,516,591
"152","Qatar",2019,271,376,449,526,611
"153","Qatar",2015,244,359,436,517,606
"154","Qatar",2011,176,304,394,488,590
"155","Russian Federation",2019,457,526,567,611,666
"156","Russian Federation",2015,449,524,567,615,674
"157","Russian Federation",2011,430,505,552,603,667
"158","Russian Federation",2007,407,495,546,601,672
"159","Russian Federation",2003,389,471,526,582,659
"160","Saudi Arabia",2019,205,327,402,484,571
"161","Saudi Arabia",2015,194,310,390,474,573
"162","Saudi Arabia",2011,245,359,429,502,593
"163","Serbia",2019,368,471,517,571,637
"164","Serbia",2015,375,480,525,580,641
"165","Serbia",2011,366,467,516,570,642
"166","Singapore",2019,454,548,595,649,708
"167","Singapore",2015,434,540,590,650,716
"168","Singapore",2011,427,531,583,644,713
"169","Singapore",2007,418,531,587,652,727
"170","Singapore",2003,406,515,565,624,694
"171","Singapore",1995,343,464,523,592,674
"172","Slovak Republic",2019,367,479,521,575,634
"173","Slovak Republic",2015,362,473,520,578,645
"174","Slovak Republic",2011,390,486,532,586,648
"175","Slovak Republic",2007,376,476,526,584,652
