"Nazwa","Miesi¹ce","Rodzaje dzia³alnoœci","Wartosc"
"POLSKA","styczeñ","paliwa sta³e, ciek³e i gazowe","104.9"
"POLSKA","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","105.7"
"POLSKA","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105.2"
"POLSKA","luty","paliwa sta³e, ciek³e i gazowe","106.8"
"POLSKA","luty","¿ywnoœæ, napoje i wyroby tytoniowe","110.5"
"POLSKA","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","114.9"
"POLSKA","marzec","paliwa sta³e, ciek³e i gazowe","85.6"
"POLSKA","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","109.9"
"POLSKA","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","111.6"
"POLSKA","kwiecieñ","paliwa sta³e, ciek³e i gazowe","57.8"
"POLSKA","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","90.9"
"POLSKA","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","86.2"
"POLSKA","maj","paliwa sta³e, ciek³e i gazowe","67.8"
"POLSKA","maj","¿ywnoœæ, napoje i wyroby tytoniowe","97.7"
"POLSKA","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","88.6"
"POLSKA","czerwiec","paliwa sta³e, ciek³e i gazowe","76.4"
"POLSKA","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","100.2"
"POLSKA","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","94.3"
"POLSKA","lipiec","paliwa sta³e, ciek³e i gazowe","85.9"
"POLSKA","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","103"
"POLSKA","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","102.8"
"POLSKA","sierpieñ","paliwa sta³e, ciek³e i gazowe","89.4"
"POLSKA","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","99.9"
"POLSKA","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104"
"POLSKA","wrzesieñ","paliwa sta³e, ciek³e i gazowe","89.4"
"POLSKA","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","104.8"
"POLSKA","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104.1"
"POLSKA","paŸdziernik","paliwa sta³e, ciek³e i gazowe","81.3"
"POLSKA","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","100.9"
"POLSKA","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","103.4"
"DOLNOŒL¥SKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","70"
"DOLNOŒL¥SKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","99.7"
"DOLNOŒL¥SKIE","luty","paliwa sta³e, ciek³e i gazowe","95.7"
"DOLNOŒL¥SKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","92.1"
"DOLNOŒL¥SKIE","marzec","paliwa sta³e, ciek³e i gazowe","79.3"
"DOLNOŒL¥SKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","102.1"
"DOLNOŒL¥SKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","50.8"
"DOLNOŒL¥SKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","64.5"
"DOLNOŒL¥SKIE","maj","paliwa sta³e, ciek³e i gazowe","61.4"
"DOLNOŒL¥SKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","60.4"
"DOLNOŒL¥SKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","67.6"
"DOLNOŒL¥SKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","81.6"
"DOLNOŒL¥SKIE","lipiec","paliwa sta³e, ciek³e i gazowe","74.5"
"DOLNOŒL¥SKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","91"
"DOLNOŒL¥SKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","75.7"
"DOLNOŒL¥SKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","89.7"
"DOLNOŒL¥SKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","75"
"DOLNOŒL¥SKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","92.9"
"DOLNOŒL¥SKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","76.4"
"DOLNOŒL¥SKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","0"
"DOLNOŒL¥SKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","92.5"
"KUJAWSKO-POMORSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","109.1"
"KUJAWSKO-POMORSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","51.9"
"KUJAWSKO-POMORSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","118"
"KUJAWSKO-POMORSKIE","luty","paliwa sta³e, ciek³e i gazowe","112.6"
"KUJAWSKO-POMORSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","55.2"
"KUJAWSKO-POMORSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","121.8"
"KUJAWSKO-POMORSKIE","marzec","paliwa sta³e, ciek³e i gazowe","92"
"KUJAWSKO-POMORSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","53.6"
"KUJAWSKO-POMORSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","169.5"
"KUJAWSKO-POMORSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","91.6"
"KUJAWSKO-POMORSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","47.8"
"KUJAWSKO-POMORSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","139.7"
"KUJAWSKO-POMORSKIE","maj","paliwa sta³e, ciek³e i gazowe","98.7"
"KUJAWSKO-POMORSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","52.4"
"KUJAWSKO-POMORSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","109.8"
"KUJAWSKO-POMORSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","89.2"
"KUJAWSKO-POMORSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","50.4"
"KUJAWSKO-POMORSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","121.2"
"KUJAWSKO-POMORSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","106.3"
"KUJAWSKO-POMORSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","53.4"
"KUJAWSKO-POMORSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","127.6"
"KUJAWSKO-POMORSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","113.3"
"KUJAWSKO-POMORSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","56.8"
"KUJAWSKO-POMORSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","137.8"
"KUJAWSKO-POMORSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","112.1"
"KUJAWSKO-POMORSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","64.3"
"KUJAWSKO-POMORSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","137.1"
"KUJAWSKO-POMORSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","95"
"KUJAWSKO-POMORSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","60"
"KUJAWSKO-POMORSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","147.5"
"LUBELSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","113.4"
"LUBELSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","116.5"
"LUBELSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105.8"
"LUBELSKIE","luty","paliwa sta³e, ciek³e i gazowe","98.8"
"LUBELSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","119.6"
"LUBELSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104.7"
"LUBELSKIE","marzec","paliwa sta³e, ciek³e i gazowe","99.9"
"LUBELSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","122.1"
"LUBELSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","107"
"LUBELSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","78.8"
"LUBELSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","100.7"
"LUBELSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","83.9"
"LUBELSKIE","maj","paliwa sta³e, ciek³e i gazowe","90.6"
"LUBELSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","104"
"LUBELSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","76.5"
"LUBELSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","91.1"
"LUBELSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","107.3"
"LUBELSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","82.2"
"LUBELSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","75.3"
"LUBELSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","108.5"
"LUBELSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","94.1"
"LUBELSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","80.4"
"LUBELSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","104.8"
"LUBELSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","93.7"
"LUBELSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","110.6"
"LUBELSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","110.5"
"LUBELSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","101.2"
"LUBELSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","101.3"
"LUBELSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","105"
"LUBELSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","100.9"
"LUBUSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","115.2"
"LUBUSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","117"
"LUBUSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","48"
"LUBUSKIE","luty","paliwa sta³e, ciek³e i gazowe","110.3"
"LUBUSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","112.2"
"LUBUSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","56.4"
"LUBUSKIE","marzec","paliwa sta³e, ciek³e i gazowe","68.7"
"LUBUSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","111.1"
"LUBUSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","63.8"
"LUBUSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","23"
