"Country","four","eight","Affluent"
"Singapore",625,616,"53"
"Hong Kong SAR",602,578,"34"
"Korea, Rep. of",600,607,"26"
"Chinese Taipei",599,612,"25"
"Japan",593,594,"48"
"Russian Federation",567,543,"80"
"Northern Ireland",566,NA,"39"
"England",556,515,"13"
"Ireland",548,524,"49"
"Latvia",546,NA,"54"
"Norway (5)",543,NA,"52"
"Lithuania",542,520,"73"
"Austria",539,NA,"30"
"Netherlands",538,NA,"57"
"United States",535,515,"23"
"Czech Republic",533,NA,"55"
"Belgium (Flemish)",532,NA,"63"
"Cyprus",532,501,"47"
"Finland",532,509,"36"
"Portugal",525,500,"27"
"Denmark",525,NA,"56"
"Hungary",523,517,"35"
"Turkey (5)",523,NA,"27"
"Sweden",521,503,"75"
"Germany",521,NA,"29"
"Poland",520,NA,"25"
"Australia",516,517,"34"
"Azerbaijan",515,NA,"14"
"Bulgaria",515,NA,"35"
"Italy",515,497,"38"
"Kazakhstan",512,488,"81"
"Canada",512,NA,"43"
"Slovak Republic",510,NA,"45"
"Croatia",509,NA,"57"
"Malta",509,NA,"48"
"Serbia",508,NA,"31"
"Spain",502,NA,"60"
"TIMSS Scale Centerpoint",500,500,NA
"Armenia",498,NA,"49"
"Albania",494,NA,"36"
"New Zealand",487,482,"38"
"France",485,483,"43"
"Georgia",482,461,"39"
"United Arab Emirates",481,473,"50"
"Bahrain",480,481,"38"
"North Macedonia",472,NA,"66"
"Montenegro",453,NA,"43"
"Bosnia and Herzegovina",452,NA,"44"
"Qatar",449,443,"66"
"Kosovo",444,NA,"55"
"Iran, Islamic Rep. of",443,446,"24"
"Chile",441,441,"14"
"Oman",431,411,"47"
"Saudi Arabia",398,394,"38"
"Morocco",383,388,"4"
"Kuwait",383,403,"37"
"South Africa (5)",374,NA,"9"
"Pakistan",328,NA,"12"
"Philippines",297,NA,"18"
"Moscow City, Russian Fed.",593,575,"87"
"Dubai, UAE",544,537,"51"
"Quebec, Canada",532,543,"55"
"Madrid, Spain",518,NA,"65"
"Ontario, Canada",512,530,"40"
"Abu Dhabi, UAE",441,436,"56"
"Israel",NA,519,NA
"Norway (9)",NA,503,NA
"Turkey",NA,496,NA
"Romania",NA,479,NA
"Malaysia",NA,461,NA
"Lebanon",NA,429,NA
"Jordan",NA,420,NA
"Egypt",NA,413,NA
"South Africa (9)",NA,389,NA
"Western Cape, RSA (9)",NA,441,NA
"Gauteng, RSA (9)",NA,421,NA
"International Average",NA,NA,"41"
