"Country","four","eight","Affluent"
"Singapore",595,608,"53"
"Korea, Rep. of",588,561,"26"
"Russian Federation",567,543,"80"
"Japan",562,570,"48"
"Chinese Taipei",558,574,"25"
"Finland",555,543,"36"
"Latvia",542,NA,"54"
"Norway (5)",539,NA,"52"
"United States",539,522,"23"
"Lithuania",538,534,"73"
"Sweden",537,521,"75"
"England",537,517,"13"
"Czech Republic",534,NA,"55"
"Australia",533,528,"34"
"Hong Kong SAR",531,504,"34"
"Poland",531,NA,"25"
"Hungary",529,530,"35"
"Ireland",528,523,"49"
"Turkey (5)",526,NA,"27"
"Croatia",524,NA,"57"
"Canada",523,NA,"43"
"Denmark",522,NA,"56"
"Austria",522,NA,"30"
"Bulgaria",521,NA,"35"
"Slovak Republic",521,NA,"45"
"Northern Ireland",518,NA,"39"
"Netherlands",518,NA,"57"
"Germany",518,NA,"29"
"Serbia",517,NA,"31"
"Cyprus",511,484,"47"
"Spain",511,NA,"60"
"Italy",510,500,"38"
"Portugal",504,519,"27"
"New Zealand",503,499,"38"
"Belgium (Flemish)",501,NA,"63"
"TIMSS Scale Centerpoint",500,500,NA
"Malta",496,NA,"48"
"Kazakhstan",494,478,"81"
"Bahrain",493,486,"38"
"Albania",489,NA,"36"
"France",488,489,"43"
"United Arab Emirates",473,473,"50"
"Chile",469,462,"14"
"Armenia",466,NA,"49"
"Bosnia and Herzegovina",459,NA,"44"
"Georgia",454,447,"39"
"Montenegro",453,NA,"43"
"Qatar",449,475,"66"
"Iran, Islamic Rep. of",441,449,"24"
"Oman",435,457,"47"
"Azerbaijan",427,NA,"14"
"North Macedonia",426,NA,"66"
"Kosovo",413,NA,"55"
"Saudi Arabia",402,431,"38"
"Kuwait",392,444,"37"
"Morocco",374,394,"4"
"South Africa (5)",324,NA,"9"
"Pakistan",290,NA,"12"
"Philippines",249,NA,"18"
"Moscow City, Russian Fed.",595,567,"87"
"Dubai, UAE",545,548,"51"
"Ontario, Canada",524,522,"40"
"Madrid, Spain",523,NA,"65"
"Quebec, Canada",522,537,"55"
"Abu Dhabi, UAE",418,420,"56"
"Turkey",NA,515,NA
"Israel",NA,513,NA
"Norway (9)",NA,495,NA
"Romania",NA,470,NA
"Malaysia",NA,460,NA
"Jordan",NA,452,NA
"Egypt",NA,389,NA
"Lebanon",NA,377,NA
"South Africa (9)",NA,370,NA
"Western Cape, RSA (9)",NA,439,NA
"Gauteng, RSA (9)",NA,422,NA
"International Average",NA,NA,"41"
