Tydzień,Turcja wyjazd: (Polska),Bułgaria ceny: (Polska)
2018-10-14,33,17
2018-10-21,0,16
2018-10-28,0,0
2018-11-04,15,0
2018-11-11,0,16
2018-11-18,0,15
2018-11-25,0,15
2018-12-02,0,16
2018-12-09,0,16
2018-12-16,0,0
2018-12-23,0,19
2018-12-30,0,49
2019-01-06,15,15
2019-01-13,15,15
2019-01-20,0,16
2019-01-27,0,31
2019-02-03,0,23
2019-02-10,0,31
2019-02-17,0,16
2019-02-24,15,15
2019-03-03,0,23
2019-03-10,0,15
2019-03-17,0,16
2019-03-24,16,16
2019-03-31,16,16
2019-04-07,16,48
2019-04-14,17,17
2019-04-21,0,0
2019-04-28,17,0
2019-05-05,16,31
2019-05-12,0,31
2019-05-19,0,39
2019-05-26,23,16
2019-06-02,0,32
2019-06-09,16,32
2019-06-16,0,59
2019-06-23,0,100
2019-06-30,0,74
2019-07-07,16,24
2019-07-14,17,75
2019-07-21,17,42
2019-07-28,25,42
2019-08-04,50,67
2019-08-11,0,50
2019-08-18,16,24
2019-08-25,32,40
2019-09-01,24,47
2019-09-08,16,32
2019-09-15,16,16
2019-09-22,31,16
2019-09-29,15,15
2019-10-06,15,15
2019-10-13,30,15
2019-10-20,0,0
2019-10-27,15,0
2019-11-03,0,14
2019-11-10,0,15
2019-11-17,0,29
2019-11-24,14,28
2019-12-01,0,0
2019-12-08,14,14
2019-12-15,0,15
2019-12-22,17,17
2019-12-29,15,37
2020-01-05,14,14
2020-01-12,0,0
2020-01-19,14,21
2020-01-26,0,0
2020-02-02,14,14
2020-02-09,0,34
2020-02-16,0,14
2020-02-23,20,13
2020-03-01,13,13
2020-03-08,13,0
2020-03-15,12,12
2020-03-22,0,0
2020-03-29,0,12
2020-04-05,0,0
2020-04-12,13,13
2020-04-19,0,0
2020-04-26,0,0
2020-05-03,0,0
2020-05-10,0,0
2020-05-17,0,0
2020-05-24,12,12
2020-05-31,12,0
2020-06-07,0,0
2020-06-14,0,13
2020-06-21,0,27
2020-06-28,0,42
2020-07-05,0,43
2020-07-12,0,36
2020-07-19,15,38
2020-07-26,0,15
2020-08-02,15,30
2020-08-09,15,0
2020-08-16,0,15
2020-08-23,21,14
2020-08-30,14,21
2020-09-06,14,0
2020-09-13,22,15
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,14,0
2020-10-11,14,14
2020-10-18,0,14
2020-10-25,14,0
2020-11-01,13,0
2020-11-08,0,0
2020-11-15,0,13
2020-11-22,13,0
2020-11-29,13,13
2020-12-06,0,0
